2017-10-29 23:18:22
  Time(s)|    ax(g)|    ay(g)|    az(g)|wx(deg/s)|wy(deg/s)|wz(deg/s)|AglX(deg)|AglY(deg)|AglZ(deg)|
    3.341|   -0.031|   -0.055|   -0.025|    0.000|   -0.122|    0.000|   -0.038|  -30.891|   -9.797|
    3.362|   -0.030|   -0.069|    1.012|    0.793|   -0.671|    0.000|  -16.625|  -30.250|   -9.789|
    3.384|   -0.033|   -0.050|   -0.028|   -0.305|    0.732|    0.061|  -16.406|   -0.082|   -9.789|
    3.406|   -0.045|   -0.056|   -0.002|   -1.037|   -0.366|    0.061|   -0.511|   -0.538|   -9.797|
    3.427|   -0.045|   -0.056|   -0.002|    0.061|    0.061|    0.061|   -0.379|   -0.225|   -9.789|
    3.448|   -0.041|   -0.046|   -0.004|    2.014|    0.854|    0.000|   -0.022|  -27.453|   -9.789|
    3.469|   -0.033|   -0.050|   -0.005|   -0.183|   -0.305|    0.000|  -15.219|   -0.143|   -9.789|
    3.490|   -0.036|   -0.064|   -0.000|   -0.122|   -0.122|    0.000|  -15.023|  -26.312|   -9.781|
    3.511|   -0.031|   -0.049|   -0.009|    0.977|    0.549|    0.061|   42.219|  -68.500|  107.188|
    3.532|   -0.033|   -0.067|   -0.005|   -1.343|   -0.854|    0.000|   -0.483|  -25.188|   -9.789|
    3.553|   -0.033|   -0.067|   -0.005|   -1.343|   -0.854|    0.000|   -0.483|  -25.188|   -9.789|
    3.574|   -0.032|   -0.053|   -0.015|    0.854|    0.671|    0.061|   -0.170|   -0.494|   -9.781|
    3.595|   -0.036|   -0.053|   -0.008|   -0.427|   -0.427|    0.000|  -13.891|  -23.609|   -9.781|
    3.616|   -0.036|   -0.052|   -0.011|    0.610|    0.427|    0.061|  -13.688|   -0.604|   -9.781|
    3.637|   -0.032|   -0.053|   -0.009|    0.305|    0.244|    0.061|  -13.469|   -0.093|   -9.781|
    3.658|   -0.036|   -0.058|   -0.001|   -0.305|   -0.305|    0.061|   -0.615|  -22.109|   -9.781|
    3.679|   -0.031|   -0.057|   -0.010|   -0.183|   -0.061|    0.061|   -0.330|   -0.308|   -9.773|
    3.700|   -0.031|   -0.055|   -0.011|    0.244|    0.122|    0.061|   -0.231|   -0.077|   -9.773|
    3.721|   -0.033|   -0.060|   -0.007|   -0.305|   -0.305|    0.000|  -12.609|  -20.500|   -9.773|
    3.742|   -0.031|   -0.058|   -0.007|    0.122|    0.122|    0.061|  -12.422|   -0.357|   -9.773|
    3.763|   -0.034|   -0.053|   -0.006|    0.183|    0.061|    0.000|  -12.234|  -19.609|   -9.773|
    3.784|   -0.035|   -0.054|   -0.002|    0.061|    0.061|    0.061|  -11.969|   -0.687|   -9.766|
    3.805|   -0.035|   -0.052|   -0.006|    0.244|    0.183|    0.061|   -0.538|   -0.269|   -9.766|
    3.826|   -0.034|   -0.061|   -0.006|   -0.427|   -0.305|    0.000|   -0.450|   -0.066|   -9.766|
    3.847|   -0.033|   -0.056|   -0.001|    0.183|    0.122|    0.061|   -0.291|  -17.953|   -9.766|
    3.868|   -0.032|   -0.057|   -0.008|   -0.244|   -0.061|    0.000|   -0.148|  -66.938|  107.500|
